board,angle,climb_name,date,logged_grade,displayed_grade,is_benchmark,tries,is_mirror,sessions_count,tries_total,is_repeat,is_ascent,comment
kilter,40,proj braj,2023-02-26 02:55:00,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,The Little Squeeze,2023-03-01 23:20:35,6c+/V5,6c+/V5,False,1,False,1,1,False,True,
kilter,40,Triptoc,2023-03-01 23:25:58,7a+/V7,7a+/V7,False,1,False,1,1,False,True,
kilter,40,A-Thee A-Thee A-Thee That's All Folks,2023-03-12 01:34:40,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,40,hello is it me your looking for?,2023-03-12 01:36:37,6c/V5,6c/V5,False,1,False,2,2,True,True,
kilter,40,P'tite V4,2023-03-19 02:55:40,6a/V3,6a/V3,False,1,False,10,14,True,True,
kilter,40,We Will Rock You,2023-04-26 00:14:42,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,Tension Tension,2023-04-26 00:17:08,6a/V3,6a/V3,False,1,False,1,1,False,True,
kilter,40,Easy Living,2023-04-26 00:22:18,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,40,Mike's Hard Lemonade,2023-04-26 00:27:48,6b+/V4,6b+/V4,False,1,False,1,1,False,True,
kilter,30,P'tite V4,2023-04-30 02:42:14,6a/V3,6a/V3,False,1,False,11,15,True,True,
kilter,30,DozMov C,2023-04-30 02:43:24,6a+/V3,6a+/V3,False,1,False,4,4,True,True,
kilter,30,swooped,2023-04-30 02:44:39,6b/V4,6b/V4,False,1,False,7,9,True,True,
kilter,30,ford focus,2023-04-30 03:03:04,6b/V4,6b/V4,False,1,False,7,9,True,True,
kilter,30,Cheers!!,2023-05-02 00:12:32,5c/V2,5c/V2,False,1,False,4,5,True,True,
kilter,30,Jug Skin,2023-05-02 00:14:51,5a/V1,5a/V1,False,1,False,1,1,False,True,
kilter,30,Steep Thrills,2023-05-02 00:17:59,6a/V3,6a/V3,False,1,False,2,2,True,True,
kilter,40,Rainbow Swing,2023-05-07 02:16:58,6a+/V3,6a+/V3,False,1,False,4,4,True,True,
kilter,40,Scared em Off,2023-05-07 02:18:29,6b+/V4,6b+/V4,False,1,False,3,3,True,True,
kilter,30,pendel,2023-05-14 03:25:25,7a/V6,7a/V6,False,1,False,1,1,False,True,
kilter,20,Cupcake,2023-05-16 00:14:11,5c/V2,5c/V2,False,1,False,1,1,False,True,
kilter,20,HilDawgyDawg,2023-05-16 00:15:21,5b/V1,5b/V1,False,1,False,3,3,True,True,
